Sample,Time,Label,UPneumo,LPneumo,EDA1,Cardio1,Move1,DE,Aux02
2691,01:29.66,C46,53519.0,40575.0,119444.0,38661.0,,1.0,85.0
2692,01:29.70,C46,53652.0,40708.0,119457.0,38554.0,,1.0,85.0
2693,01:29.73,C46,53784.0,40859.0,119457.0,38435.0,,2.0,83.0
2694,01:29.76,C46,53871.0,40991.0,119460.0,38358.0,,2.0,80.0
2695,01:29.79,C46,53938.0,41087.0,119460.0,38300.0,,3.0,86.0
2696,01:29.83,C46,53945.0,41140.0,119468.0,38282.0,,4.0,90.0
2697,01:29.86,C46,53935.0,41129.0,119469.0,38469.0,,4.0,85.0
2698,01:29.90,C46,53929.0,41081.0,119459.0,39066.0,,4.0,85.0
2699,01:29.93,C46,53903.0,40983.0,119455.0,39245.0,,3.0,85.0
2700,01:29.96,C46,53865.0,40921.0,119448.0,39248.0,,2.0,90.0
2701,01:30.00,C46,53833.0,40889.0,119446.0,39141.0,,1.0,85.0
2702,01:30.03,C46,53796.0,40863.0,119441.0,39045.0,,1.0,85.0
2703,01:30.06,C46,53732.0,40807.0,119449.0,38834.0,,1.0,82.0
2704,01:30.09,C46,53641.0,40735.0,119457.0,38725.0,,1.0,85.0
2705,01:30.13,C46,53593.0,40671.0,119452.0,38757.0,,2.0,80.0
2706,01:30.16,C46,53535.0,40607.0,119443.0,38784.0,,2.0,80.0
2707,01:30.20,C46,53481.0,40519.0,119446.0,38816.0,,2.0,85.0
2708,01:30.23,C46,53426.0,40440.0,119450.0,38720.0,,1.0,86.0
2709,01:30.26,C46,53368.0,40363.0,119448.0,38582.0,,1.0,89.0
2710,01:30.29,C46,53304.0,40271.0,119457.0,38476.0,,1.0,96.0
2711,01:30.33,C46,53257.0,40207.0,119463.0,38400.0,,1.0,85.0
2712,01:30.36,C46,53231.0,40175.0,119474.0,38336.0,,1.0,80.0
2713,01:30.40,C46,53193.0,40127.0,119480.0,38298.0,,2.0,85.0
2714,01:30.43,C46,53121.0,40073.0,119460.0,38298.0,,3.0,82.0
2715,01:30.46,C46,53033.0,39983.0,119441.0,38768.0,,2.0,80.0
2716,01:30.50,C46,52991.0,39892.0,119448.0,39157.0,,2.0,85.0
2717,01:30.53,C46,52953.0,39823.0,119456.0,39248.0,,3.0,85.0
2718,01:30.56,C46,52895.0,39753.0,119443.0,39250.0,,3.0,85.0
2719,01:30.59,C46,52831.0,39743.0,119433.0,39114.0,,1.0,80.0
2720,01:30.63,C46,52804.0,39727.0,119443.0,39002.0,,1.0,80.0
2721,01:30.66,C46,52772.0,39727.0,119458.0,38858.0,,2.0,90.0
2722,01:30.70,C46,52711.0,39716.0,119455.0,38754.0,,2.0,88.0
2723,01:30.73,C46,52635.0,39698.0,119451.0,38793.0,,3.0,83.0
2724,01:30.76,C46,52584.0,39679.0,119447.0,38832.0,,2.0,86.0
2725,01:30.79,C46,52549.0,39679.0,119446.0,38758.0,,2.0,89.0
2726,01:30.83,C46,52527.0,39679.0,119457.0,38640.0,,1.0,80.0
2727,01:30.86,C46,52516.0,39679.0,119457.0,38565.0,,1.0,80.0
2728,01:30.90,C46,52500.0,39673.0,119449.0,38496.0,,1.0,90.0
2729,01:30.93,C46,52479.0,39665.0,119430.0,38413.0,,1.0,80.0
2730,01:30.96,C46,52452.0,39657.0,119425.0,38330.0,,1.0,85.0
2731,01:31.00,C46,52447.0,39647.0,119436.0,38288.0,,1.0,80.0
2732,01:31.03,C46,52415.0,39647.0,119431.0,38304.0,,1.0,80.0
2733,01:31.06,C46,52377.0,39601.0,119433.0,38829.0,,1.0,88.0
2734,01:31.09,C46,52367.0,39535.0,119445.0,39232.0,,2.0,90.0
2735,01:31.13,C46,52367.0,39492.0,119444.0,39333.0,,2.0,96.0
2736,01:31.16,C46,52351.0,39471.0,119446.0,39258.0,,1.0,90.0
2737,01:31.20,C46,52340.0,39487.0,119450.0,39133.0,,1.0,85.0
2738,01:31.23,C46,52344.0,39515.0,119445.0,38908.0,,1.0,86.0
2739,01:31.26,C46,52354.0,39531.0,119439.0,38784.0,,1.0,86.0
2740,01:31.29,C46,52392.0,39570.0,119447.0,38835.0,,1.0,92.0
2741,01:31.33,C46,52441.0,39599.0,119454.0,38874.0,,1.0,85.0
2742,01:31.36,C46,52479.0,39631.0,119460.0,38853.0,,1.0,90.0
2743,01:31.40,C46,52537.0,39679.0,119454.0,38794.0,,1.0,80.0
2744,01:31.43,C46,52625.0,39756.0,119438.0,38664.0,,2.0,82.0
2745,01:31.46,C46,52729.0,39855.0,119440.0,38549.0,,3.0,80.0
2746,01:31.50,C46,52799.0,39924.0,119438.0,38485.0,,3.0,90.0
2747,01:31.53,C46,52873.0,39993.0,119440.0,38432.0,,3.0,80.0
2748,01:31.56,C46,52977.0,40097.0,119439.0,38346.0,,4.0,85.0
2749,01:31.59,C46,53087.0,40207.0,119441.0,38298.0,,4.0,85.0
2750,01:31.63,C46,53135.0,40281.0,119443.0,38298.0,,3.0,80.0
2751,01:31.66,C46,53193.0,40324.0,119433.0,38586.0,,3.0,85.0
2752,01:31.70,C46,53313.0,40367.0,119448.0,39157.0,,2.0,85.0
2753,01:31.73,C46,53483.0,40491.0,119457.0,39273.0,,3.0,86.0
2754,01:31.76,C46,53631.0,40664.0,119436.0,39123.0,,3.0,80.0
2755,01:31.79,C46,53771.0,40831.0,119430.0,38953.0,,2.0,80.0
2756,01:31.83,C46,53855.0,40959.0,119442.0,38778.0,,1.0,80.0
2757,01:31.86,C46,53903.0,41039.0,119449.0,38762.0,,1.0,85.0
2758,01:31.90,C46,53951.0,41103.0,119441.0,38810.0,,1.0,90.0
2759,01:31.93,C46,54007.0,41164.0,119429.0,38850.0,,1.0,85.0
2760,01:31.96,C46,54031.0,41220.0,119435.0,38826.0,,1.0,90.0
